feature,importance
Price_in_Lakhs,0.9999999992309496
Locality,5.604553930264881e-11
Amenities,5.514260940658493e-11
City,5.1439936999141834e-11
Floor_No,5.0856763814013485e-11
Total_Floors,4.92047866795015e-11
Size_in_SqFt,4.605436939692317e-11
State,4.5494414783886785e-11
Age_of_Property,3.8428314128431144e-11
Year_Built,3.7904204742377516e-11
Amenities_Score,3.7464476602997074e-11
Nearby_Schools,3.6540153730622884e-11
Nearby_Hospitals,3.6292836541473e-11
Price_per_SqFt,2.9835125011942834e-11
BHK,2.8061329216851827e-11
Facing,2.4174233913921906e-11
Property_Type,1.910511166738499e-11
Owner_Type,1.8928811094730738e-11
Public_Transport_Accessibility,1.6660467264946718e-11
Furnished_Status,1.4957163973422183e-11
Furnished_Score,1.48172523080567e-11
Is_Ready_To_Move,9.506235105815746e-12
Availability_Status,9.501879293470521e-12
Has_Security,8.958895338423133e-12
Has_Parking,8.763646657627375e-12
Security,8.65563659773126e-12
Parking_Space,8.544638244121621e-12
Has_High_Transport,7.711428785607147e-12
